exp_name,ckpt,readout,pooling,task,pr_auc_v1,pr_auc_untrained_v1,gap_v1,n_test_pos_v1,base_rate_v1,pr_auc_v2,pr_auc_untrained_v2,gap_v2,n_test_pos_v2,base_rate_v2,delta_pr_auc,delta_gap,delta_n_test_pos
exp03_fb0p05_b0p1_none,best,gbm,mean,eb,0.7058000689312114,0.7314949660210456,-0.0256948970898341,196,0.0969816922315685,0.7187705251284096,0.7215409961290331,-0.0027704710006235,189,0.0935180603661553,0.012970456197198166,0.0229244260892106,-7
exp03_fb0_b0p1_comb,best_recon_aux,logistic,quantile,eb,0.7287006197711943,0.6852215032151786,0.0434791165560156,196,0.0969816922315685,0.7415532330537218,0.6899515602232781,0.0516016728304437,189,0.0935180603661553,0.012852613282527514,0.008122556274428101,-7
exp03_fb0p1_b0p1_none,best_recon_aux,gbm,mean,eb,0.7347426128523474,0.7314949660210456,0.0032476468313018,196,0.0969816922315685,0.74687466971488,0.7215409961290331,0.0253336735858469,189,0.0935180603661553,0.012132056862532603,0.0220860267545451,-7
exp03_fb0p1_b0p1_none,best,gbm,mean,eb,0.7347426128523474,0.7314949660210456,0.0032476468313018,196,0.0969816922315685,0.74687466971488,0.7215409961290331,0.0253336735858469,189,0.0935180603661553,0.012132056862532603,0.0220860267545451,-7
exp03_fb0p1_b1p0_lpsd,best,gbm,mean,eb,0.7071352703716438,0.7314949660210456,-0.0243596956494017,196,0.0969816922315685,0.7192032570161059,0.7215409961290331,-0.0023377391129272,189,0.0935180603661553,0.01206798664446207,0.0220219565364745,-7
exp03_fb0_b1p0_comb,best_recon_aux,logistic,mean,eb,0.7436199492226937,0.7125878172203186,0.031032132002375,196,0.0969816922315685,0.7556488262186306,0.7176276009331412,0.0380212252854894,189,0.0935180603661553,0.01202887699593691,0.006989093283114402,-7
exp03_fb0p05_b0p3_lpsd,best,gbm,window_score,eb,0.7582055048986656,0.740985495878607,0.0172200090200586,196,0.0969816922315685,0.769878147679415,0.7342692724332739,0.035608875246141,189,0.0935180603661553,0.01167264278074942,0.018388866226082403,-7
exp03_fb0p05_b0p3_lpsd,best,mlp,mean,eb,0.7649241610394756,0.6964033407428439,0.0685208202966316,196,0.0969816922315685,0.7765936529796527,0.7023350455142886,0.074258607465364,189,0.0935180603661553,0.01166949194017708,0.005737787168732397,-7
exp03_fb0p02_b1p0_lpsd,best_recon_aux,gbm,max,eb,0.7850652494092332,0.7648959875211593,0.0201692618880738,196,0.0969816922315685,0.7967016176347781,0.7778161368178547,0.0188854808169234,189,0.0935180603661553,0.011636368225544924,-0.0012837810711503993,-7
exp03_fb0p1_b1p0_comb,best_recon_aux,gbm,mean,eb,0.7044161129191698,0.7314949660210456,-0.0270788531018757,196,0.0969816922315685,0.7160425397217673,0.7215409961290331,-0.0054984564072657,189,0.0935180603661553,0.011626426802597511,0.02158039669461,-7
exp03_fb0p1_b0p3_none,best_recon_aux,mlp,window_score,eb,0.750246412470539,0.6789522251691357,0.0712941873014033,196,0.0969816922315685,0.7613908060449999,0.6895776480484126,0.0718131579965872,189,0.0935180603661553,0.011144393574460842,0.000518970695183904,-7
exp03_fb0p05_b0p3_lpsd,best_recon_aux,gbm,quantile,eb,0.741670134742808,0.7303331510105068,0.0113369837323011,196,0.0969816922315685,0.752708652873284,0.7330848949460695,0.0196237579272144,189,0.0935180603661553,0.011038518130476072,0.008286774194913301,-7
exp03_fb0p1_b0p1_lpsd,best_recon_aux,mlp,window_score,eb,0.7682348777698887,0.6789522251691357,0.089282652600753,196,0.0969816922315685,0.7789146778142735,0.6895776480484126,0.0893370297658608,189,0.0935180603661553,0.010679800044384735,5.4377165107796777e-05,-7
exp03_fb0_b0p1_comb,best_recon_aux,gbm,quantile,eb,0.7510625007631208,0.7303331510105068,0.0207293497526139,196,0.0969816922315685,0.7615686075657326,0.7330848949460695,0.028483712619663,189,0.0935180603661553,0.010506106802611881,0.0077543628670491,-7
exp03_fb0p1_b0p3_none,best_recon_aux,mlp,quantile,eb,0.6843939460204032,0.6903264519718817,-0.0059325059514785,196,0.0969816922315685,0.6948944777133558,0.696092599953435,-0.0011981222400792,189,0.0935180603661553,0.01050053169295262,0.004734383711399301,-7
exp03_fb0p1_b0p1_lpsd,best,mlp,max,eb,0.7438610386539446,0.7117152244859503,0.0321458141679943,196,0.0969816922315685,0.7541588274437653,0.7017002300695743,0.052458597374191,189,0.0935180603661553,0.010297788789820683,0.0203127832061967,-7
exp03_fb0p1_b1p0_none,best,mlp,quantile,eb,0.6896583056881693,0.6903264519718817,-0.0006681462837123,196,0.0969816922315685,0.6999193580159435,0.696092599953435,0.0038267580625085,189,0.0935180603661553,0.01026105232777419,0.0044949043462208,-7
exp03_fb0p05_b0p3_lpsd,best,gbm,quantile,eb,0.7389548341743775,0.7303331510105068,0.0086216831638706,196,0.0969816922315685,0.7491268334345156,0.7330848949460695,0.016041938488446,189,0.0935180603661553,0.01017199926013812,0.007420255324575402,-7
exp03_fb0p02_b1p0_comb,best,gbm,mean,eb,0.7401421266721792,0.7314949660210456,0.0086471606511335,196,0.0969816922315685,0.7502143678383709,0.7215409961290331,0.0286733717093378,189,0.0935180603661553,0.010072241166191764,0.020026211058204298,-7
exp03_fb0p02_b1p0_lpsd,best,gbm,quantile,eb,0.7440980365670798,0.7303331510105068,0.013764885556573,196,0.0969816922315685,0.7541109868102441,0.7330848949460695,0.0210260918641745,189,0.0935180603661553,0.010012950243164287,0.007261206307601499,-7
exp03_fb0p05_b0p3_lpsd,best,logistic,quantile,eb,0.7056656793740294,0.6852215032151786,0.0204441761588507,196,0.0969816922315685,0.7153520208538794,0.6899515602232781,0.0254004606306013,189,0.0935180603661553,0.009686341479850036,0.004956284471750599,-7
exp03_fb0p05_b1p0_lpsd,best,gbm,mean,eb,0.7164114555972607,0.7314949660210456,-0.0150835104237848,196,0.0969816922315685,0.7260217776976764,0.7215409961290331,0.0044807815686432,189,0.0935180603661553,0.00961032210041568,0.019564291992428,-7
exp03_fb0p05_b0p3_lpsd,best_recon_aux,mlp,max,eb,0.7180175064899814,0.7117152244859503,0.0063022820040311,196,0.0969816922315685,0.7275398269848311,0.7017002300695743,0.0258395969152568,189,0.0935180603661553,0.00952232049484969,0.0195373149112257,-7
